MonitoringLocationIdentifier,ActivityStartDateTime,Ammonia-nitrogen_value,Ammonia-nitrogen_unit,Chloride_value,Chloride_unit,"Chlorophyll a, free of pheophytin_value","Chlorophyll a, free of pheophytin_unit",Copper_value,Copper_unit,Dissolved oxygen (DO)_value,Dissolved oxygen (DO)_unit,Escherichia coli_value,Escherichia coli_unit,Kjeldahl nitrogen_value,Kjeldahl nitrogen_unit,Microcystin_value,Microcystin_unit,Nitrate_value,Nitrate_unit,Nitrate + Nitrite_value,Nitrate + Nitrite_unit,Nitrite_value,Nitrite_unit,Orthophosphate_value,Orthophosphate_unit,Precipitation 24hr prior to monitoring event amount_value,Precipitation 24hr prior to monitoring event amount_unit,Specific conductance_value,Specific conductance_unit,Sulfate_value,Sulfate_unit,"Temperature, air_value","Temperature, air_unit","Temperature, water_value","Temperature, water_unit","Total Phosphorus, mixed forms_value","Total Phosphorus, mixed forms_unit",Total dissolved solids_value,Total dissolved solids_unit,Total suspended solids_value,Total suspended solids_unit,"Transparency, Secchi tube with disk_value","Transparency, Secchi tube with disk_unit",Turbidity_value,Turbidity_unit,pH_value,pH_unit,OrganizationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,ProviderName,climate_station,climate_station_name,distance_to_climate_station_km,doy,gdd_40_86,high,highc,low,lowc,precip,snow,snowd
21IOWA_WQX-10030001,2024-01-02 10:10:00,,,16.0,mg/L,3.0,ug/L,,,13.6,mg/L,30.0,MPN/100mL,0.28,mg/L,,,,,3.3,mg/L,,,,,,,,,20.0,mg/L,,,0.5,deg C,,,320.0,mg/L,2.0,mg/L,,,,,8.2,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,2,0.0,23.0,-5.0,18.0,-7.8,0.0,0.0,0.0
21IOWA_WQX-10030001,2024-02-01 11:10:00,,,14.0,mg/L,8.0,ug/L,,,13.7,mg/L,10.0,MPN/100mL,0.31,mg/L,,,,,3.4,mg/L,,,0.02,mg/L,,,,,20.0,mg/L,,,0.5,deg C,0.04,mg/L,290.0,mg/L,6.0,mg/L,,,1.3,NTU,8.4,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,32,2.5,45.0,7.2,28.0,-2.2,0.0,0.0,0.0
21IOWA_WQX-10030001,2024-03-12 10:00:00,,,16.0,mg/L,9.0,ug/L,,,10.6,mg/L,,,0.3,mg/L,,,,,2.2,mg/L,,,,,,,,,17.0,mg/L,,,9.1,deg C,0.04,mg/L,290.0,mg/L,4.0,mg/L,,,1.4,NTU,8.3,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,72,13.5,67.0,19.4,39.0,3.9,0.0,0.0,0.0
21IOWA_WQX-10030001,2024-04-08 09:55:00,,,20.0,mg/L,34.0,ug/L,,,10.9,mg/L,,,0.84,mg/L,,,,,3.6,mg/L,,,,,,,,,20.0,mg/L,,,8.3,deg C,0.05,mg/L,330.0,mg/L,13.0,mg/L,,,2.4,NTU,8.3,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,99,2.5,45.0,7.2,39.0,3.9,0.25,0.0,0.0
21IOWA_WQX-10030001,2024-05-07 11:15:00,,,25.0,mg/L,30.0,ug/L,1.6,ug/L,8.9,mg/L,85.0,MPN/100mL,0.78,mg/L,,,,,16.0,mg/L,,,0.04,mg/L,,,,,19.0,mg/L,,,15.8,deg C,0.17,mg/L,360.0,mg/L,120.0,mg/L,,,28.0,NTU,8.2,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,128,21.5,70.0,21.1,53.0,11.7,0.74,0.0,0.0
21IOWA_WQX-10030001,2024-06-12 10:00:00,,,21.0,mg/L,14.0,ug/L,1.3,ug/L,9.1,mg/L,230.0,MPN/100mL,,,,,,,13.0,mg/L,,,0.05,mg/L,,,,,20.0,mg/L,,,18.8,deg C,0.1,mg/L,360.0,mg/L,48.0,mg/L,,,11.0,NTU,8.2,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,164,27.0,79.0,26.1,55.0,12.8,0.0,0.0,0.0
21IOWA_WQX-10030001,2024-07-10 09:10:00,,,17.0,mg/L,3.0,ug/L,2.0,ug/L,8.7,mg/L,370.0,MPN/100mL,0.61,mg/L,,,,,16.0,mg/L,,,0.07,mg/L,,,,,16.0,mg/L,,,19.7,deg C,0.17,mg/L,360.0,mg/L,59.0,mg/L,,,28.0,NTU,8.2,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,192,31.0,78.0,25.6,64.0,17.8,0.0,0.0,0.0
21IOWA_WQX-10030001,2024-08-08 10:35:00,,,14.0,mg/L,46.0,ug/L,1.7,ug/L,8.5,mg/L,160.0,MPN/100mL,,,,,,,4.9,mg/L,,,0.03,mg/L,,,,,14.0,mg/L,,,21.1,deg C,0.11,mg/L,340.0,mg/L,37.0,mg/L,,,18.0,NTU,8.2,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,221,30.0,76.0,24.4,64.0,17.8,0.0,0.0,0.0
21IOWA_WQX-10030001,2024-09-10 10:00:00,0.07,mg/L,15.0,mg/L,5.0,ug/L,2.0,ug/L,9.4,mg/L,41.0,MPN/100mL,,,,,,,4.5,mg/L,,,,,,,,,16.0,mg/L,,,17.9,deg C,,,310.0,mg/L,5.0,mg/L,,,1.9,NTU,8.1,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,254,25.5,78.0,25.6,53.0,11.7,0.0001,0.0,0.0
21IOWA_WQX-10030001,2024-10-02 10:45:00,,,16.0,mg/L,7.0,ug/L,,,10.2,mg/L,86.0,MPN/100mL,,,,,,,3.6,mg/L,,,,,,,,,18.0,mg/L,,,14.3,deg C,0.02,mg/L,300.0,mg/L,3.0,mg/L,,,1.5,NTU,8.2,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,276,13.0,63.0,17.2,43.0,6.1,0.0,0.0,0.0
21IOWA_WQX-10030001,2024-11-05 09:45:00,,,19.0,mg/L,9.0,ug/L,2.9,ug/L,10.0,mg/L,2400.0,MPN/100mL,0.61,mg/L,,,,,3.6,mg/L,,,0.05,mg/L,,,,,16.0,mg/L,,,11.5,deg C,0.07,mg/L,310.0,mg/L,11.0,mg/L,,,1.9,NTU,8.2,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,310,14.0,60.0,15.6,48.0,8.9,0.25,0.0,0.0
21IOWA_WQX-10030001,2024-12-03 09:45:00,,,20.0,mg/L,2.0,ug/L,1.6,ug/L,14.5,mg/L,30.0,MPN/100mL,0.52,mg/L,,,,,5.2,mg/L,,,0.031,mg/L,,,,,18.0,mg/L,,,0.0,deg C,0.04,mg/L,390.0,mg/L,3.0,mg/L,,,1.3,NTU,8.3,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,338,0.0,20.0,-6.7,10.0,-12.2,0.01,0.2,0.0
21IOWA_WQX-10030001,2025-01-06 09:50:00,,,18.0,mg/L,,,1.1,ug/L,14.2,mg/L,,,,,,,,,6.0,mg/L,,,0.08,mg/L,,,,,23.0,mg/L,,,0.2,deg C,0.1,mg/L,390.0,mg/L,2.0,mg/L,,,1.7,NTU,8.2,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,6,0.0,13.0,-10.6,4.0,-15.6,0.0,0.0,0.0
21IOWA_WQX-10030001,2025-02-04 10:00:00,,,15.0,mg/L,2.0,ug/L,,,13.8,mg/L,10.0,MPN/100mL,0.64,mg/L,,,,,4.8,mg/L,,,,,,,,,20.0,mg/L,,,0.4,deg C,0.02,mg/L,330.0,mg/L,2.0,mg/L,,,,,8.3,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,35,0.0,31.0,-0.6,3.0,-16.1,0.0001,0.0,0.0
21IOWA_WQX-10030001,2025-03-06 09:10:00,0.8,mg/L,19.0,mg/L,71.0,ug/L,2.9,ug/L,12.9,mg/L,9200.0,MPN/100mL,7.0,mg/L,,,,,4.4,mg/L,,,0.62,mg/L,,,,,12.0,mg/L,,,0.6,deg C,1.5,mg/L,250.0,mg/L,480.0,mg/L,,,220.0,NTU,8.0,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,65,0.0,30.0,-1.1,17.0,-8.3,0.0001,0.3,1.0
21IOWA_WQX-10030001,2025-04-03 09:45:00,0.07,mg/L,18.0,mg/L,30.0,ug/L,2.4,ug/L,11.2,mg/L,2000.0,MPN/100mL,1.4,mg/L,,,,,8.7,mg/L,,,0.04,mg/L,,,,,20.0,mg/L,,,6.1,deg C,0.21,mg/L,310.0,mg/L,140.0,mg/L,,,37.0,NTU,8.3,,21IOWA_WQX,Upper Iowa River near Dorchester,River/Stream,7060002,43.421498,-91.508917,19,5,STORET,IA8755,WAUKON,17.149933827484315,93,12.0,64.0,17.8,32.0,0.0,0.0001,0.0,0.0
21IOWA_WQX-10030002,2024-01-02 11:00:00,,,24.0,mg/L,2.0,ug/L,,,13.4,mg/L,52.0,MPN/100mL,0.31,mg/L,,,,,4.5,mg/L,,,0.09,mg/L,,,,,18.0,mg/L,,,1.5,deg C,0.09,mg/L,380.0,mg/L,2.0,mg/L,,,1.1,NTU,8.2,,21IOWA_WQX,Yellow River at Ion,River/Stream,7060001,43.111779,-91.264921,19,5,STORET,IA8755,WAUKON,29.689849397087993,2,0.0,23.0,-5.0,18.0,-7.8,0.0,0.0,0.0
